question_id,play,question_type,question,expected_focus,system,retrieved_passages,generated_response,correctness_score,grounding_score,retrieval_relevance_score,usefulness_score,style_quality_score,comments
Q1,Macbeth,contextual_qa,Why does Macbeth kill Duncan?,"Ambition, witches' prophecy, Lady Macbeth's pressure, Duncan as obstacle.",baseline,Macbeth Act 1 Scene 6 /// Macbeth Act 3 Scene 4 /// Macbeth Act 2 Scene 2,"Duncan arrives at Macbeth’s castle, unaware of the planned betrayal. Banquo’s ghost appears at Macbeth’s banquet, revealing Macbeth’s instability. Macbeth murders Duncan, and the couple reacts to guilt and fear.",2,1,2,2,,
Q1,Macbeth,contextual_qa,Why does Macbeth kill Duncan?,"Ambition, witches' prophecy, Lady Macbeth's pressure, Duncan as obstacle.",rag,"Macbeth Act 2 Sc 2 (score=0.746): Macbeth murders Duncan, and the couple reacts to guilt and fear. /// Macbeth Act 1 Sc 4 (score=0.743): Duncan names Malcolm heir, creating an obstacle to Macbeth’s ambition. /// Macbeth Act 5 Sc 1 (score=0.730): Lady Macbeth sleepwalks and reveals torment over Duncan’s murder.",Because he is a traitor to Malcolm and Cawdor. He kills Duncan because he has a grudge against Malcolm.,4,4,4,4,,
Q2,Macbeth,contextual_qa,How does Macbeth change after becoming king?,"Becomes paranoid, violent, tyrannical; Banquo's murder; hallucinations.",baseline,Macbeth Act 3 Scene 4 /// Macbeth Act 2 Scene 2 /// Macbeth Act 3 Scene 1,"Banquo’s ghost appears at Macbeth’s banquet, revealing Macbeth’s instability. Macbeth murders Duncan, and the couple reacts to guilt and fear. Macbeth fears Banquo and arranges to murder him and Fleance.",2,1,2,2,,
Q2,Macbeth,contextual_qa,How does Macbeth change after becoming king?,"Becomes paranoid, violent, tyrannical; Banquo's murder; hallucinations.",rag,"Macbeth Act 3 Sc 6 (score=0.654): Scottish nobles discuss Macbeth’s tyranny and hope for resistance. /// Macbeth Act 1 Sc 4 (score=0.649): Duncan names Malcolm heir, creating an obstacle to Macbeth’s ambition. /// Macbeth Act 5 Sc 7 (score=0.640): Macbeth fights desperately, trusting the prophecy.","They have tied him to a stake, but bear-like he must fight the course.",4,4,5,4,,
Q3,Hamlet,contextual_qa,Why does Hamlet delay taking revenge?,"Uncertainty, moral hesitation, need to verify guilt, philosophical temperament.",baseline,Hamlet Act 5 Scene 2 /// Hamlet Act 3 Scene 2 /// Hamlet Act 4 Scene 2,The duel ends in multiple deaths; Hamlet kills Claudius and Fortinbras takes control. The play-within-a-play unsettles Claudius. Hamlet refuses to reveal where Polonius’s body is.,2,1,2,2,,
Q3,Hamlet,contextual_qa,Why does Hamlet delay taking revenge?,"Uncertainty, moral hesitation, need to verify guilt, philosophical temperament.",rag,Hamlet Act 4 Sc 4 (score=0.709): Hamlet compares himself to Fortinbras and criticises his delay. /// Hamlet Act 1 Sc 4 (score=0.678): Hamlet waits for the ghost and follows it. /// Hamlet Act 3 Sc 3 (score=0.642): Hamlet finds Claudius praying but delays killing him.,Hamlet finds Claudius praying but delays killing him because he doesn't want to let his madness range.,4,4,4,4,,
Q4,Hamlet,concept_explanation,What is Ophelia's role in the tragedy?,"Caught between Hamlet, Polonius, Laertes; madness and death show cost of revenge.",baseline,Hamlet Act 3 Scene 1 /// Hamlet Act 1 Scene 3 /// Hamlet Act 4 Scene 5,"Hamlet reflects on existence, rejects Ophelia, and Claudius suspects danger. Laertes and Polonius warn Ophelia about Hamlet. Ophelia’s madness and Laertes’s return deepen the crisis.",2,1,2,2,,
Q4,Hamlet,concept_explanation,What is Ophelia's role in the tragedy?,"Caught between Hamlet, Polonius, Laertes; madness and death show cost of revenge.",rag,"Hamlet Act 4 Sc 5 (score=0.719): Ophelia’s madness and Laertes’s return deepen the crisis. /// Hamlet Act 3 Sc 1 (score=0.650): Hamlet reflects on existence, rejects Ophelia, and Claudius suspects danger. /// Hamlet Act 4 Sc 7 (score=0.647): Claudius and Laertes plot Hamlet’s death; Ophelia’s drowning is reported.",Madness and Laertes's return deepen the crisis and Ophelia's drowning is reported.,4,3,4,4,,
Q5,Romeo and Juliet,contextual_qa,Why is Juliet conflicted after Romeo kills Tybalt?,Loves Romeo but Tybalt is her cousin; family vs. romantic loyalty.,baseline,Romeo and Juliet Act 3 Scene 2 /// Romeo and Juliet Act 2 Scene 2 /// Romeo and Juliet Act 3 Scene 1,Juliet learns Romeo killed Tybalt and is torn between love and family loyalty. Romeo and Juliet confess love and plan marriage in the balcony scene. Tybalt kills Mercutio; Romeo kills Tybalt and is banished.,2,1,3,2,,
Q5,Romeo and Juliet,contextual_qa,Why is Juliet conflicted after Romeo kills Tybalt?,Loves Romeo but Tybalt is her cousin; family vs. romantic loyalty.,rag,Romeo and Juliet Act 3 Sc 2 (score=0.815): Juliet learns Romeo killed Tybalt and is torn between love and family loyalty. /// Romeo and Juliet Act 3 Sc 1 (score=0.739): Tybalt kills Mercutio; Romeo kills Tybalt and is banished. /// Romeo and Juliet Act 5 Sc 1 (score=0.727): Romeo hears Juliet is dead and buys poison.,Juliet is torn between love and family loyalty because Romeo killed Tybalt.,4,4,5,4,,
Q6,Romeo and Juliet,concept_explanation,How does the family feud shape the tragedy?,"Feud creates violence, secrecy, miscommunication, conditions for lovers' deaths.",baseline,Macbeth Act 5 Scene 2 /// Macbeth Act 5 Scene 9 /// Romeo and Juliet Act 3 Scene 3,Scottish forces gather against Macbeth. Malcolm is restored as king and order returns. Romeo despairs over banishment while Friar Laurence gives advice.,2,1,2,2,,
Q6,Romeo and Juliet,concept_explanation,How does the family feud shape the tragedy?,"Feud creates violence, secrecy, miscommunication, conditions for lovers' deaths.",rag,"Romeo and Juliet Act 5 Sc 3 (score=0.549): Romeo and Juliet die in the tomb, reconciling the families. /// Romeo and Juliet Act 0 Sc 0 (score=0.539): The prologue introduces the feud and announces that the lovers’ deaths will end it. /// Romeo and Juliet Act 1 Sc 5 (score=0.507): Romeo and Juliet meet and fall in love before learning they are from enemy families.",Romeo and Juliet meet and fall in love before learning they are from enemy families and they are reconciling the families.,3,3,4,3,,
G1,Hamlet,concept_explanation,Who is the Ghost in Hamlet and what does he reveal?,Ghost of King Hamlet; reveals murder by Claudius; urges revenge.,baseline,Hamlet Act 1 Scene 5 /// Hamlet Act 5 Scene 2 /// Hamlet Act 3 Scene 2,The ghost says Claudius murdered him and commands revenge. The duel ends in multiple deaths; Hamlet kills Claudius and Fortinbras takes control. The play-within-a-play unsettles Claudius.,2,1,3,2,,
G1,Hamlet,concept_explanation,Who is the Ghost in Hamlet and what does he reveal?,Ghost of King Hamlet; reveals murder by Claudius; urges revenge.,rag,Hamlet Act 1 Sc 4 (score=0.788): Hamlet waits for the ghost and follows it. /// Hamlet Act 1 Sc 1 (score=0.778): Guards and Horatio see the ghost and decide to tell Hamlet. /// Hamlet Act 5 Sc 1 (score=0.623): Hamlet reflects on death in the graveyard and confronts Laertes at Ophelia’s funeral.,"Hamlet, Horatio, and Marcellus is the Ghost in Hamlet and he reveals that the air bites shrewdly.",4,4,5,4,,
G2,Macbeth,concept_explanation,What role do the three witches play in Macbeth?,Prophecy triggers ambition; fate vs. free will; 'Fair is foul'.,baseline,Macbeth Act 3 Scene 4 /// Macbeth Act 2 Scene 2 /// Macbeth Act 4 Scene 1,"Banquo’s ghost appears at Macbeth’s banquet, revealing Macbeth’s instability. Macbeth murders Duncan, and the couple reacts to guilt and fear. The witches give Macbeth ambiguous prophecies that make him overconfident.",2,1,2,2,,
G2,Macbeth,concept_explanation,What role do the three witches play in Macbeth?,Prophecy triggers ambition; fate vs. free will; 'Fair is foul'.,rag,Macbeth Act 4 Sc 1 (score=0.687): The witches give Macbeth ambiguous prophecies that make him overconfident. /// Macbeth Act 1 Sc 1 (score=0.673): The witches gather and set up the play’s atmosphere of moral confusion. /// Macbeth Act 1 Sc 3 (score=0.660): The witches greet Macbeth with prophecies that awaken his ambition.,The witches give Macbeth ambiguous prophecies that make him overconfident.,5,4,5,4,,
G3,Romeo and Juliet,contextual_qa,How does Friar Lawrence contribute to the tragedy of Romeo and Juliet?,Secretly marries them; devises sleeping potion plan; miscommunication causes deaths.,baseline,Romeo and Juliet Act 2 Scene 2 /// Romeo and Juliet Act 3 Scene 3 /// Romeo and Juliet Act 3 Scene 2,Romeo and Juliet confess love and plan marriage in the balcony scene. Romeo despairs over banishment while Friar Laurence gives advice. Juliet learns Romeo killed Tybalt and is torn between love and family loyalty.,2,1,2,2,,
G3,Romeo and Juliet,contextual_qa,How does Friar Lawrence contribute to the tragedy of Romeo and Juliet?,Secretly marries them; devises sleeping potion plan; miscommunication causes deaths.,rag,Romeo and Juliet Act 3 Sc 3 (score=0.719): Romeo despairs over banishment while Friar Laurence gives advice. /// Romeo and Juliet Act 4 Sc 1 (score=0.667): Juliet seeks help and receives Friar Laurence’s potion plan. /// Romeo and Juliet Act 5 Sc 1 (score=0.647): Romeo hears Juliet is dead and buys poison.,Friar Laurence gives advice to Romeo and Juliet on how to deal with calamity.,4,3,4,4,,
G4,Macbeth,contextual_qa,What is the significance of Lady Macbeth's sleepwalking scene?,"Psychological collapse from guilt; 'Out, damned spot'; contrast with earlier boldness.",baseline,Macbeth Act 2 Scene 2 /// Macbeth Act 3 Scene 4 /// Macbeth Act 3 Scene 2,"Macbeth murders Duncan, and the couple reacts to guilt and fear. Banquo’s ghost appears at Macbeth’s banquet, revealing Macbeth’s instability. Macbeth and Lady Macbeth reflect on insecurity after gaining power.",2,1,3,2,,
